Time [s],Current(PhaseA) [A],Current(PhaseB) [A],Current(PhaseC) [A],Moving1.Position [deg],Moving1.Torque [NewtonMeter],Moving1.Speed [rpm]
0.282,-0.935370567,-1.443013138,2.378383705,312.5569221,1.22474744,2795.212816
0.2825,-0.567650154,-1.726512671,2.294162825,320.9414961,1.314412782,2794.662622
0.283,-0.183813233,-1.99106934,2.174882573,329.325368,1.312766238,2794.582678
0.2835,0.184459373,-2.173343998,1.988884625,337.7088464,1.28713262,2794.356966
0.284,0.548571342,-2.304073573,1.755502231,346.0916188,1.333307773,2794.240172
0.2845,0.916133664,-2.390684521,1.474550857,354.4748457,1.391138358,2794.681574
0.285,1.247062274,-2.410409114,1.16334684,2.859723856,1.335600853,2795.138632
0.2855,1.538590507,-2.356582367,0.817991859,11.24514793,1.292121839,2795.066153
0.286,1.821940563,-2.264369335,0.442428772,19.62997914,1.309515916,2794.85204
0.2865,2.060192228,-2.115429819,0.05523759,28.01410762,1.263959884,2794.485382
0.287,2.217910363,-1.914977505,-0.302932858,36.39661486,1.258392492,2793.842148
0.2875,2.337875046,-1.662251816,-0.67562323,44.77742568,1.314017704,2793.464083
0.288,2.407721802,-1.374540459,-1.033181343,53.15793564,1.358476675,2793.622305
0.2885,2.400832528,-1.05486949,-1.345963038,61.53920157,1.321482247,2793.822591
0.289,2.329414634,-0.696255109,-1.633159525,69.92089696,1.363085237,2794.048651
0.2895,2.226850305,-0.315077373,-1.911772933,78.30374727,1.368537237,2794.528495
0.29,2.053966504,0.066653526,-2.120620031,86.68757572,1.270896868,2794.516126
0.2905,1.832811544,0.427269763,-2.260081308,95.07019349,1.247614645,2793.853231
0.291,1.566461324,0.802709629,-2.369170952,103.4508178,1.294603622,2793.313049
0.2915,1.269917225,1.143060477,-2.412977703,111.830346,1.299097914,2793.047095
0.292,0.93929384,1.443705549,-2.382999389,120.2090945,1.293623885,2792.775281
0.2925,0.567533383,1.730217926,-2.297751309,128.5874097,1.376066625,2792.915494
0.293,0.186827005,1.990092689,-2.176919694,136.9670736,1.383860903,2793.541866
0.2935,-0.183933562,2.171929425,-1.987995863,145.3483586,1.319022464,2793.865963
0.294,-0.553741624,2.301245329,-1.747503706,153.7298431,1.304315194,2793.763723
0.2945,-0.923511191,2.396885893,-1.473374701,162.1108093,1.294763905,2793.529756
0.295,-1.247624365,2.412771508,-1.165147143,170.490725,1.249325074,2792.999113
0.2955,-1.538124827,2.356219663,-0.818094836,178.8686187,1.260851309,2792.283212
0.296,-1.826188057,2.266701431,-0.440513374,187.2449541,1.348697963,2792.09716
0.2965,-2.058226288,2.117084136,-0.058857848,195.6216281,1.340208371,2792.337604
0.297,-2.218969441,1.914069307,0.304900134,203.998849,1.323974866,2792.4474
0.2975,-2.33699374,1.654728709,0.682265032,212.3765928,1.392357296,2792.83743
0.298,-2.411849228,1.372621603,1.039227625,220.7560358,1.35371726,2793.389633
0.2985,-2.404950263,1.057607184,1.347343078,229.1362155,1.258636087,2793.226727
0.299,-2.325391718,0.692938343,1.632453375,237.5149943,1.27932737,2792.661948
0.2995,-2.227356041,0.313955728,1.913400312,245.8924416,1.306681097,2792.351601
0.3,-2.052864627,-0.063785466,2.116650093,254.2690381,1.267238928,2791.97549
0.3005,-1.831333691,-0.431386911,2.262720602,262.6441808,1.285851089,2791.485625
0.301,-1.562078365,-0.808732073,2.370810438,271.0186171,1.391601208,2791.661013
0.3015,-1.267659761,-1.147533673,2.415193434,279.3945237,1.355593878,2792.213264
0.302,-0.938841464,-1.445643355,2.38448482,287.7715687,1.329869184,2792.437475
