Time [s],Current(PhaseA) [A],Current(PhaseB) [A],Current(PhaseC) [A],Moving1.Position [deg],Moving1.Torque [NewtonMeter],Moving1.Speed [rpm]
0.282,-0.914241586,-1.438031197,2.352272783,11.91544026,1.297384678,2793.848035
0.2825,-0.567026947,-1.727613379,2.294640326,20.29688805,1.351094037,2793.879662
0.283,-0.189256629,-1.979520361,2.16877699,28.67884611,1.321102305,2794.039166
0.2835,0.186161143,-2.151616094,1.965454952,37.0608102,1.292640624,2793.885827
0.284,0.556432886,-2.277210419,1.720777533,45.4421787,1.324653146,2793.750116
0.2845,0.923923407,-2.366110949,1.442187542,53.82360416,1.347362918,2793.907662
0.285,1.243998814,-2.373118111,1.129119297,62.20550428,1.30196923,2793.944813
0.2855,1.534640063,-2.339263857,0.804623793,70.58711125,1.317254309,2793.820181
0.286,1.823692072,-2.267840838,0.444148767,78.96868305,1.350134366,2793.95323
0.2865,2.039923926,-2.099452416,0.05952849,87.35075996,1.303868073,2794.015614
0.287,2.198978107,-1.892397148,-0.306580959,95.73248073,1.294987716,2793.781999
0.2875,2.312322422,-1.630407368,-0.681915053,104.1136802,1.346694769,2793.776582
0.288,2.376155337,-1.33913041,-1.037024927,112.495363,1.336385702,2793.993966
0.2885,2.364446607,-1.023650353,-1.340796254,120.8773508,1.291823848,2793.918233
0.289,2.317793321,-0.685409304,-1.632384017,129.2588786,1.337736927,2793.848724
0.2895,2.224790041,-0.317805305,-1.906984736,137.6406754,1.335118467,2794.011388
0.29,2.033714951,0.063985198,-2.097700149,146.0227187,1.294993801,2793.945827
0.2905,1.809466597,0.430650257,-2.240116854,154.4042031,1.307851814,2793.733015
0.291,1.541540219,0.804958278,-2.346498498,162.785422,1.352063972,2793.825327
0.2915,1.234325103,1.142352145,-2.376677248,171.167195,1.315080293,2793.957591
0.292,0.911579625,1.436826301,-2.348405926,179.548888,1.299879111,2793.810342
0.2925,0.567180421,1.730620248,-2.297800669,187.9302575,1.352657582,2793.863541
0.293,0.189895661,1.978564553,-2.168460214,196.3121653,1.317640953,2794.012829
0.2935,-0.184951148,2.150053904,-1.965102756,204.6939982,1.289862769,2793.825841
0.294,-0.557481345,2.278429389,-1.720948044,213.07519,1.330905765,2793.708432
0.2945,-0.924013953,2.367560002,-1.443546049,221.4565534,1.346665044,2793.895654
0.295,-1.24188131,2.37215674,-1.13027543,229.8383831,1.296954826,2793.902145
0.2955,-1.535153992,2.337734939,-0.802580947,238.2198343,1.322156525,2793.776641
0.296,-1.82567309,2.270601435,-0.444928345,246.601316,1.347970718,2793.924191
0.2965,-2.038861244,2.099123365,-0.060262122,254.9832598,1.299637594,2793.952139
0.297,-2.197564836,1.891201976,0.30636286,263.3647558,1.297138166,2793.706981
0.2975,-2.315049905,1.631446304,0.683603601,271.745784,1.352538565,2793.744115
0.298,-2.375856292,1.339872149,1.035984143,280.1273917,1.328871979,2793.95248
0.2985,-2.362875137,1.023399919,1.339475218,288.5091723,1.2914619,2793.834243
0.299,-2.317344211,0.683231131,1.63411308,296.8904785,1.344267371,2793.797369
0.2995,-2.225833821,0.318284325,1.907549497,305.2721678,1.330818255,2793.971846
0.3,-2.033088614,-0.062854876,2.09594349,313.6540355,1.292984275,2793.872247
0.3005,-1.80846902,-0.431542766,2.240011786,322.0353154,1.315025512,2793.686745
0.301,-1.542488195,-0.80616812,2.348656315,330.4164619,1.350145425,2793.807124
0.3015,-1.235514713,-1.140443887,2.3759586,338.7981175,1.307210314,2793.886807
0.302,-0.91276351,-1.436947712,2.349711223,347.1795557,1.307820229,2793.739489
0.3025,-0.566474106,-1.733639837,2.300113943,355.5607954,1.352320881,2793.833193
0.303,-0.189103003,-1.977073215,2.166176219,3.942577185,1.311791087,2793.949214
0.3035,0.18427229,-2.148394708,1.964122418,12.3241694,1.292375141,2793.743931
0.304,0.559413237,-2.279758427,1.720345191,20.70519094,1.340073082,2793.688817
0.3045,0.923882168,-2.367853599,1.443971431,29.08657053,1.342310641,2793.901937
0.305,1.240467642,-2.371355234,1.130887592,37.46836709,1.295921705,2793.879587
0.3055,1.535884533,-2.334893933,0.7990094,45.84978145,1.330028683,2793.790635
0.306,1.828162789,-2.273384034,0.445221245,54.23134792,1.340166237,2793.938699
0.3065,2.036729345,-2.097708001,0.060978656,62.61323984,1.297431908,2793.912963
0.307,2.197022435,-1.89077582,-0.306246615,70.99461497,1.301021201,2793.676505
0.3075,2.317852977,-1.632686027,-0.685166949,79.3756058,1.35488632,2793.746976
0.308,2.375464792,-1.340890799,-1.034573993,87.7572196,1.32369158,2793.940221
0.3085,2.362823009,-1.024394902,-1.338428107,96.13892812,1.29525722,2793.814455
0.309,2.317886595,-0.681643175,-1.636243419,104.5202404,1.348899057,2793.822722
0.3095,2.224892797,-0.317830146,-1.907062651,112.9020185,1.32387379,2793.985003
0.31,2.032562762,0.061725983,-2.094288744,121.283848,1.292383633,2793.844921
0.3105,1.807030171,0.433084869,-2.24011504,129.6650542,1.317827427,2793.671018
0.311,1.5433644,0.807130089,-2.350494488,138.0461846,1.350360513,2793.807552
0.3115,1.236226323,1.138474374,-2.374700697,146.4278331,1.305205652,2793.877664
0.312,0.911799106,1.437034475,-2.348833581,154.809254,1.31372036,2793.751199
0.3125,0.566471926,1.736854176,-2.303326101,163.1905986,1.353518754,2793.883121
0.313,0.189057973,1.974639969,-2.163697943,171.5725159,1.306639639,2793.978232
0.3135,-0.183555385,2.147476844,-1.96392146,179.9541415,1.2926413,2793.746803
0.314,-0.560916123,2.280985837,-1.720069714,188.3351927,1.343484129,2793.711387
0.3145,-0.923570836,2.369113392,-1.445542556,196.7166623,1.33961625,2793.928506
0.315,-1.238643336,2.370179645,-1.131536309,205.0984966,1.293429505,2793.878438
0.3155,-1.53735253,2.334765803,-0.797413273,213.4799114,1.335750763,2793.80676
0.316,-1.829421163,2.275334338,-0.445913175,221.8615799,1.338708659,2793.977838
0.3165,-2.034711956,2.096568528,-0.061856572,230.2435579,1.294440076,2793.928445
0.317,-2.196494285,1.889836904,0.306657381,238.6249583,1.303039369,2793.686776
0.3175,-2.3203394,1.634075429,0.686263971,247.0060029,1.355125613,2793.769404
0.318,-2.374207415,1.341075695,1.03313172,255.3876547,1.317725791,2793.932032
0.3185,-2.361565797,1.024022437,1.33754336,263.7692881,1.29778617,2793.787702
0.319,-2.319064384,0.680379778,1.638684607,272.1505793,1.354930428,2793.841768
0.3195,-2.224855738,0.318127454,1.906728284,280.5324545,1.319205936,2794.011566
0.32,-2.031952134,-0.060604215,2.092556349,288.9143067,1.291050298,2793.839399
0.3205,-1.806621904,-0.434186273,2.240808177,297.2955126,1.323560828,2793.689024
0.321,-1.544555227,-0.807558155,2.352113382,305.676745,1.347811604,2793.842796
0.3215,-1.237156669,-1.135988637,2.373145306,314.0584428,1.299721934,2793.869979
0.322,-0.912124852,-1.438013347,2.350138199,322.4398268,1.322128438,2793.759082
0.3225,-0.565753959,-1.73894268,2.304696639,330.8212792,1.352379056,2793.930105
0.323,-0.189035279,-1.973089392,2.162124672,339.2032857,1.299186896,2793.979387
0.3235,0.182923546,-2.146180757,1.963257212,347.5848539,1.296219951,2793.727053
0.324,0.56241798,-2.283065024,1.720647044,355.965905,1.347394123,2793.731709
0.3245,0.922827493,-2.369099595,1.446272102,4.347442267,1.33298987,2793.934429
0.325,1.236914617,-2.368949906,1.13203529,12.72922021,1.292867287,2793.845754
0.3255,1.539352596,-2.336769131,0.797416535,21.11057822,1.344632102,2793.818507
0.326,1.829982129,-2.276269649,0.446287521,29.49234396,1.332476717,2794.003969
0.3265,2.032335693,-2.09459355,0.062257857,37.87432264,1.292348028,2793.910033
0.327,2.196418265,-1.8891451,-0.307273165,46.2556744,1.308513781,2793.686337
0.3275,2.323136158,-1.635560232,-0.687575926,54.63674249,1.348806281,2793.764468
0.328,2.373160754,-1.341758369,-1.031402384,63.01828334,1.31243729,2793.864731
0.3285,2.360280883,-1.023163427,-1.337117456,71.39969156,1.304142013,2793.725675
0.329,2.320433601,-0.679159295,-1.641274306,79.78088389,1.358565723,2793.833116
0.3295,2.223615306,-0.318031364,-1.905583942,88.16274233,1.313641677,2793.992639
0.33,2.031149551,0.059431467,-2.090581018,96.54448489,1.292325803,2793.797332
0.3305,1.80628462,0.435764563,-2.242049183,104.925609,1.329363947,2793.684718
0.331,1.545650732,0.807682792,-2.353333524,113.3068549,1.341125463,2793.833816
0.3315,1.238424081,1.134466102,-2.372890183,121.6884454,1.298104692,2793.816359
0.332,0.90716742,1.438794854,-2.345962274,130.0696717,1.326063999,2793.717558
0.3325,0.567723825,1.741442431,-2.309166256,138.4510287,1.349990848,2793.896725
0.333,0.189633786,1.97064582,-2.160279606,146.8328976,1.297023822,2793.921431
0.3335,-0.182256696,2.145293023,-1.963036327,155.2142871,1.299724189,2793.675974
0.334,-0.563905428,2.284663419,-1.720757991,163.5952359,1.349955997,2793.712982
0.3345,-0.921444222,2.369001884,-1.447557662,171.9767106,1.326678203,2793.895554
0.335,-1.235487534,2.367970652,-1.132483118,180.3583044,1.292956289,2793.773238
0.3355,-1.541267234,2.336745254,-0.79547802,188.7394582,1.347076616,2793.75918
0.336,-1.829840481,2.27627488,-0.446434399,197.1210622,1.330678019,2793.947865
0.3365,-2.030814917,2.094181522,-0.063366604,205.5028494,1.291695969,2793.840517
0.337,-2.196583421,1.888304352,0.308279069,213.8840094,1.313036749,2793.637253
0.3375,-2.325082327,1.636745669,0.688336658,222.2649759,1.348331718,2793.736942
0.338,-2.371942543,1.342218763,1.029723781,230.6464045,1.307880378,2793.81011
0.3385,-2.358562222,1.02156309,1.336999132,239.0276205,1.308046222,2793.667232
0.339,-2.32254241,0.678286921,1.644255489,247.4086909,1.360803684,2793.807375
0.3395,-2.222271938,0.318322064,1.903949874,255.7904736,1.309452447,2793.956376
0.34,-2.031140199,-0.058788848,2.089929047,264.1720624,1.292361395,2793.738572
0.3405,-1.805944576,-0.437341394,2.24328597,272.5530509,1.336966115,2793.666646
0.341,-1.546596692,-0.807529712,2.354126403,280.9343113,1.338733967,2793.843734
0.3415,-1.238741532,-1.1329307,2.371672232,289.3158888,1.29490006,2793.796339
0.342,-0.909071756,-1.440176576,2.349248332,297.6970487,1.331311852,2793.708347
0.3425,-0.56688629,-1.743136175,2.310022466,306.0784224,1.347784821,2793.90383
0.343,-0.18926722,-1.967966697,2.157233917,314.4602712,1.293678228,2793.898796
0.3435,0.182717719,-2.144783749,1.96206603,322.8415807,1.304214908,2793.659314
0.344,0.565469275,-2.287143246,1.721673971,331.222538,1.351897372,2793.730797
0.3445,0.920552771,-2.367992011,1.447439241,339.6040414,1.318156809,2793.878199
0.345,1.234715841,-2.367146753,1.132430913,347.9855059,1.295622283,2793.724279
0.3455,1.543832157,-2.337358445,0.793526288,356.3665726,1.352973665,2793.755902
0.346,1.829154889,-2.275510459,0.446355569,4.74819618,1.324361043,2793.942422
0.3465,2.029325486,-2.093393266,0.06406778,13.12990061,1.291933329,2793.802397
0.347,2.197174617,-1.887742215,-0.309432402,21.51099049,1.320884523,2793.642296
0.3475,2.327892017,-1.638677916,-0.689214101,29.89203979,1.345230681,2793.767598
0.348,2.370035182,-1.342102523,-1.027932659,38.27349754,1.302303849,2793.794371
0.3485,2.358304809,-1.020587576,-1.337717233,46.65465265,1.316690712,2793.667786
0.349,2.324537139,-0.677663618,-1.64687352,55.0357926,1.356176101,2793.829539
0.3495,2.2204032,-0.318447391,-1.90195581,63.4175596,1.303335594,2793.920999
0.35,2.031049839,0.057928171,-2.08897801,71.79899822,1.296464221,2793.692082
0.3505,1.805558191,0.438889482,-2.244447673,80.17992911,1.344087367,2793.680185
0.351,1.547969187,0.807020123,-2.35498931,88.56127899,1.333564865,2793.867958
0.3515,1.239508762,1.131152458,-2.370661221,96.9428726,1.294626975,2793.791476
0.352,0.907655728,1.441824451,-2.349480179,105.3240508,1.33801125,2793.737902
0.3525,0.567734548,1.744385503,-2.312120051,113.7055359,1.338588338,2793.920194
0.353,0.189617344,1.965450948,-2.155068292,122.0873334,1.293336866,2793.86399
0.3535,-0.182830756,2.144965704,-1.962134948,130.4685495,1.307024273,2793.637479
0.354,-0.566845456,2.289849707,-1.72300425,138.8494759,1.352757589,2793.728596
0.3545,-0.919046252,2.366323991,-1.447277739,147.2309607,1.314191159,2793.859358
0.355,-1.23395842,2.36663927,-1.132680851,155.6123515,1.300371501,2793.709519
0.3555,-1.545940117,2.337897892,-0.791957775,163.9934411,1.356019087,2793.782938
0.356,-1.828772241,2.275366445,-0.446594204,172.3751466,1.318358327,2793.953802
0.3565,-2.027688608,2.092751567,-0.065062959,180.756821,1.291976171,2793.78179
0.357,-2.198136839,1.887378095,0.310758744,189.137863,1.323438285,2793.635461
0.3575,-2.329600947,1.640151164,0.689449783,197.5189179,1.344992907,2793.7732
0.358,-2.369045396,1.343254774,1.025790623,205.9003786,1.300189705,2793.787399
0.3585,-2.358090741,1.019386159,1.338704582,214.2815234,1.322897268,2793.682728
0.359,-2.326458614,0.677671113,1.648787501,222.6627756,1.356317924,2793.87869
0.3595,-2.218418337,0.318669802,1.899748535,231.0446689,1.299013157,2793.948009
0.36,-2.030681967,-0.057375111,2.088057078,239.4261467,1.297273942,2793.700303
0.3605,-1.80576756,-0.440383081,2.24615064,247.8071282,1.347322853,2793.710123
0.361,-1.548795939,-0.805963279,2.354759218,256.1885819,1.329654771,2793.894463
0.3615,-1.239726233,-1.129755838,2.369482071,264.5702051,1.293094464,2793.788871
0.362,-0.906640913,-1.443444196,2.350085109,272.9513913,1.344062028,2793.759479
0.3625,-0.568828202,-1.745062217,2.313890419,281.3329934,1.336186653,2793.961522
0.363,-0.190391733,-1.962946429,2.153338162,289.7148745,1.290531179,2793.877593
0.3635,0.183407057,-2.14558198,1.962174923,298.0961197,1.310453504,2793.65443
0.364,0.567579531,-2.291887989,1.724308457,306.4771233,1.35078421,2793.753451
0.3645,0.917240516,-2.365019389,1.447778872,314.8586327,1.308786057,2793.844726
0.365,1.233800745,-2.365676138,1.131875393,323.2399488,1.305495811,2793.693219
0.3655,1.548470277,-2.339297255,0.790826978,331.6210674,1.360302166,2793.817074
0.366,1.827567086,-2.274380171,0.446813085,340.0028802,1.310658381,2793.969865
0.3665,2.026299456,-2.092403558,0.066104102,348.3845271,1.293218861,2793.763212
