Time [ms],Current(PhaseA) [A],Current(PhaseB) [A],Current(PhaseC) [A],Moving1.Position [deg],Moving1.Torque [NewtonMeter],Moving1.Speed [rpm]
161.5004,-0.336251233,-1.318244214,1.123633688,264.5147332,1.460443701,2801.217704
162.0004,-0.110348812,-1.391749705,1.088772732,272.9210573,1.614120122,2803.238801
162.5004,0.119618965,-1.520301728,1.040955634,281.3348097,1.596082699,2805.903614
163.0004,0.304130001,-1.51563673,0.930811971,289.7553481,1.369797554,2807.437466
163.5004,0.47587384,-1.521017201,0.788615797,298.1785404,1.404123843,2808.077232
164.0004,0.65114444,-1.607798222,0.619051679,306.6041387,1.43958212,2809.044208
164.5004,0.774111581,-1.600005698,0.440894291,315.0321982,1.273306084,2809.403747
165.0004,0.834569322,-1.507971602,0.223787182,323.4597177,1.25923254,2808.919861
165.5004,0.931483787,-1.45456586,-0.014446073,331.8858175,1.295489217,2808.536134
166.0004,1.026360853,-1.346507251,-0.206418042,340.3103207,1.128297825,2807.538583
166.5004,1.047775103,-1.134161788,-0.393384822,348.7297807,1.025461203,2805.272675
167.0004,1.08825795,-0.90925646,-0.572017047,357.1421045,1.162358844,2803.154502
167.5004,1.14261144,-0.629081211,-0.740780948,5.549402451,1.175735888,2801.731106
168.0004,1.129798814,-0.345076774,-0.847517546,13.95230709,1.123943107,2800.123693
168.5004,1.111686158,-0.04399787,-0.917471526,22.35037631,1.226726871,2798.747984
169.0004,1.092787776,0.250755355,-1.036726395,30.74558686,1.294304154,2798.164137
169.5004,1.005348592,0.547851489,-1.087285734,39.13968249,1.295586445,2797.901648
170.0004,0.884894523,0.795442278,-1.099475259,47.53350619,1.403297978,2798.148606
170.5004,0.735579684,1.032865574,-1.135529459,55.92998344,1.59642877,2799.804875
171.0004,0.549058839,1.200742204,-1.168421868,64.33267361,1.473563722,2801.799314
171.5004,0.361126951,1.270617995,-1.123268073,72.73990382,1.40741378,2802.91825
172.0004,0.138617217,1.345670361,-1.088190783,81.15043262,1.526319119,2804.286695
172.5004,-0.092215381,1.480056856,-1.043763417,89.5662956,1.549709999,2806.326754
173.0004,-0.277110403,1.48681573,-0.937687933,97.98758402,1.351319502,2807.557687
173.5004,-0.445318342,1.494425369,-0.799170103,106.4107117,1.350189669,2807.858595
174.0004,-0.619952798,1.586335078,-0.629970899,114.8349229,1.391495582,2808.346785
174.5004,-0.745736708,1.588208078,-0.452635885,123.2602239,1.228152894,2808.266428
175.0004,-0.80828397,1.499894681,-0.238136292,131.6836715,1.210101617,2807.336083
175.5004,-0.901669889,1.446979878,-0.000236584,140.1044456,1.273190787,2806.611007
176.0004,-1.002377881,1.343096006,0.192900366,148.5229752,1.13318491,2805.523641
176.5004,-1.02723695,1.131018903,0.377106624,156.9363224,1.003833907,2803.171192
177.0004,-1.067222659,0.905437877,0.554730618,165.3418745,1.108409499,2800.690891
177.5004,-1.12507735,0.627033075,0.723889166,173.741178,1.157860231,2798.920898
178.0004,-1.11571147,0.342022072,0.832747497,182.1354281,1.115664431,2797.179156
178.5004,-1.100085987,0.048277765,0.901856665,190.5244359,1.198455217,2795.620359
179.0004,-1.081106827,-0.248302958,1.020781462,198.9099279,1.283158107,2794.839163
179.5004,-0.995374464,-0.550111011,1.072424624,207.2939183,1.294436631,2794.505372
180.0004,-0.874680199,-0.795999866,1.0854908,215.6774309,1.383900945,2794.642396
180.5004,-0.7258594,-1.031063841,1.121650901,224.0631936,1.597869316,2796.200332
181.0004,-0.538163569,-1.199555847,1.156032396,232.4551192,1.485889223,2798.244484
181.5004,-0.350261633,-1.269921549,1.112257291,240.8517214,1.395145117,2799.349525
182.0004,-0.128012077,-1.339433285,1.076628925,249.2513679,1.517754712,2800.606179
182.5004,0.103293266,-1.476528984,1.032852793,257.6561334,1.559652699,2802.63772
183.0004,0.288535884,-1.481645263,0.925707158,266.0664623,1.359206457,2803.93729
183.5004,0.457744779,-1.490023355,0.786155323,274.4788745,1.3701685,2804.354221
184.0004,0.630294162,-1.573928871,0.615859186,282.8928843,1.422662483,2805.067893
184.5004,0.75726792,-1.579137033,0.436806379,291.3086817,1.241136802,2805.181421
185.0004,0.817823163,-1.486920241,0.222158384,299.72305,1.225533496,2804.372064
185.5004,0.910527369,-1.433696056,-0.016734702,308.1351923,1.301699511,2803.840926
186.0004,1.008955518,-1.331177758,-0.206916057,316.5457442,1.150768066,2802.958478
186.5004,1.032504098,-1.112826206,-0.395776618,324.9516016,1.01581974,2800.734489
187.0004,1.068897055,-0.887110714,-0.572254752,333.350049,1.131417432,2798.408365
187.5004,1.125485671,-0.607119012,-0.742052794,341.7427999,1.177792559,2796.830374
188.0004,1.112828949,-0.319664966,-0.848254322,350.1310358,1.1334142,2795.256878
188.5004,1.097598996,-0.027471068,-0.916845067,358.5146044,1.235409025,2793.946572
189.0004,1.075958438,0.271356283,-1.032515899,6.895571866,1.317565489,2793.492943
189.5004,0.98897743,0.575589414,-1.082797634,15.27593216,1.314550824,2793.409426
190.0004,0.867155875,0.819588606,-1.092761247,23.65648568,1.415227567,2793.783167
190.5004,0.717580731,1.055496572,-1.12655673,32.04011201,1.630599214,2795.637762
191.0004,0.528342103,1.221250697,-1.159641959,40.43065247,1.485723361,2797.832576
191.5004,0.339683461,1.290034924,-1.113249787,48.82610793,1.414890294,2799.027854
192.0004,0.117418293,1.357047385,-1.077168376,57.22512652,1.550738309,2800.530055
192.5004,-0.114025188,1.493447434,-1.031847596,65.63002746,1.571490986,2802.771451
193.0004,-0.29946074,1.495100846,-0.923427814,74.04093423,1.37299352,2804.191849
193.5004,-0.469090554,1.4996735,-0.782764357,82.45433454,1.390200782,2804.768241
194.0004,-0.642568866,1.583560943,-0.612351059,90.86979859,1.427356094,2805.599552
194.5004,-0.769129333,1.585458395,-0.432464815,99.28729858,1.254004999,2805.797592
195.0004,-0.829967959,1.492046879,-0.217060736,107.70371,1.240596276,2805.121524
195.5004,-0.920661408,1.436601816,0.021502148,116.1182624,1.305130812,2804.680165
196.0004,-1.0200377,1.335102645,0.213397967,124.5314249,1.162606817,2803.872687
196.5004,-1.041107994,1.114525962,0.401241575,132.940254,1.039932787,2801.820687
197.0004,-1.077613733,0.889906564,0.577798681,141.3422516,1.144070538,2799.671255
197.5004,-1.132677313,0.608466768,0.746986762,149.7389677,1.188505509,2798.208001
198.0004,-1.120171002,0.321209907,0.855332836,158.1315222,1.14987219,2796.767381
198.5004,-1.102391816,0.028381461,0.921557645,166.5197715,1.232373245,2795.526215
199.0004,-1.081518336,-0.271403589,1.03948934,174.9054251,1.310239472,2795.030626
199.5004,-0.993808522,-0.572858516,1.088247921,183.2903264,1.311818396,2794.906173
200.0004,-0.871944083,-0.817317449,1.098251926,191.6753207,1.408221375,2795.240312
200.5004,-0.72216585,-1.053018513,1.13108159,200.0632508,1.628256802,2797.056969
201.0004,-0.53337821,-1.221003289,1.164880436,208.4581406,1.508209294,2799.351645
201.5004,-0.345296431,-1.289411488,1.118500432,216.8583989,1.42049167,2800.68461
202.0004,-0.1227504,-1.357189084,1.080821452,225.2623822,1.536119391,2802.151554
202.5004,0.108670934,-1.493667147,1.036311561,233.6720361,1.574776342,2804.346364
203.0004,0.295006633,-1.497614878,0.929083385,242.0877199,1.375623594,2805.80064
203.5004,0.463244432,-1.501690166,0.788818372,250.5058829,1.369247597,2806.297819
204.0004,0.636530266,-1.585696764,0.618365626,258.925719,1.420985244,2807.007267
204.5004,0.76381486,-1.589558491,0.439675059,267.3473956,1.255062603,2807.185833
205.0004,0.824826865,-1.497084132,0.2247899,275.7679028,1.221982835,2806.433149
205.5004,0.915801623,-1.441986552,-0.013999412,284.1861791,1.295575336,2805.865111
206.0004,1.015939562,-1.339378241,-0.206784755,292.6028106,1.161916026,2805.014189
206.5004,1.039003749,-1.123048005,-0.392293305,301.0149618,1.017987495,2802.860783
207.0004,1.075781418,-0.897604597,-0.56911423,309.4197896,1.124633411,2800.521738
207.5004,1.131530407,-0.617515845,-0.739385889,317.818821,1.175874235,2798.911509
208.0004,1.120927753,-0.330664415,-0.848205396,326.2132976,1.134025616,2797.340208
208.5004,1.103566774,-0.037499492,-0.915948791,334.6031015,1.228361682,2796.008192
209.0004,1.082770918,0.260258328,-1.032830311,342.9902101,1.31962954,2795.539521
209.5004,0.99691544,0.563178399,-1.084700238,351.3766988,1.305371907,2795.430943
210.0004,0.874388511,0.807106187,-1.095292737,359.7631605,1.397535361,2795.687084
210.5004,0.725260028,1.043582293,-1.12806752,8.152345134,1.630755961,2797.467088
211.0004,0.537358184,1.210631872,-1.162645987,16.54848501,1.506939031,2799.769087
211.5004,0.348739731,1.28321994,-1.118576371,24.94989674,1.401332293,2801.008175
212.0004,0.128760204,1.34882361,-1.080121158,33.35456626,1.513216244,2802.279467
212.5004,-0.104395946,1.485513725,-1.035893009,41.76430491,1.556575686,2804.28212
213.0004,-0.290250413,1.491942426,-0.929693482,50.17958308,1.366698616,2805.608866
213.5004,-0.458864873,1.497227564,-0.789463317,58.59711547,1.375597665,2806.092979
214.0004,-0.630116481,1.579327451,-0.619778285,67.01643091,1.428631047,2806.867053
214.5004,-0.760075146,1.587892827,-0.440394926,75.43767248,1.23686256,2806.995817
215.0004,-0.820573316,1.495279592,-0.226805651,83.85740095,1.213982736,2806.119714
215.5004,-0.909581364,1.43856812,0.012286624,92.27466749,1.297197118,2805.52034
216.0004,-1.011532139,1.338356876,0.20483216,100.6902366,1.153149837,2804.634556
216.5004,-1.035921669,1.120492683,0.391167768,109.1011677,1.018637628,2802.441595
217.0004,-1.071694678,0.896995452,0.565938191,117.5047209,1.120270744,2800.083424
217.5004,-1.127622348,0.61506395,0.736633387,125.9023456,1.165551242,2798.402698
218.0004,-1.118265018,0.328729805,0.846372271,134.2952076,1.136488943,2796.792443
218.5004,-1.100894605,0.03720859,0.913159412,142.6834007,1.231118368,2795.482561
219.0004,-1.079881888,-0.260469349,1.028746593,151.0689104,1.310092889,2794.980101
219.5004,-0.995153435,-0.564184936,1.082609362,159.4536047,1.300332688,2794.801018
220.0004,-0.872556839,-0.807493454,1.093505183,167.8380967,1.391390048,2795.002159
220.5004,-0.723591831,-1.042339019,1.124377179,176.2251073,1.618442285,2796.692944
221.0004,-0.534800014,-1.21317844,1.161487783,184.6188285,1.51202135,2798.957824
221.5004,-0.346497717,-1.283506717,1.11709129,193.0179213,1.416813623,2800.289776
222.0004,-0.126436343,-1.346978496,1.078476857,201.4205894,1.516042728,2801.644013
222.5004,0.106260104,-1.485094436,1.033757549,209.8284675,1.56146876,2803.680398
223.0004,0.293672511,-1.494217232,0.928524485,218.2420542,1.381973214,2805.099145
223.5004,0.460614526,-1.494843637,0.787487205,226.6581993,1.376016748,2805.654818
224.0004,0.633243953,-1.579460211,0.617216424,235.0761595,1.419572365,2806.386869
224.5004,0.762257425,-1.586554403,0.43745084,243.4958741,1.237136918,2806.47254
225.0004,0.823378744,-1.493899383,0.223592007,251.9140165,1.210670447,2805.58005
225.5004,0.909812086,-1.435028152,-0.015031934,260.3296054,1.291967864,2804.938529
226.0004,1.014053573,-1.336980387,-0.208528285,268.7434772,1.174652707,2804.126459
