Time [ms],Current(PhaseA) [A],Current(PhaseB) [A],Current(PhaseC) [A],Moving1.Position [deg],Moving1.Torque [NewtonMeter],Moving1.Speed [rpm]
163.5,0.628483753,-1.752627145,0.231456621,173.2044479,1.710642165,2750.123608
164,0.841510156,-1.751326444,0.123450245,181.4594249,1.594029357,2753.015289
164.5,1.025415411,-1.72141627,0.000830941,189.7228854,1.78199911,2756.252778
165,1.250847424,-1.681210467,-0.116751306,197.9981538,1.850162912,2760.702565
165.5,1.375771507,-1.574182923,-0.223023703,206.2864126,1.630407974,2764.464146
166,1.437524234,-1.425118094,-0.328074407,214.5838929,1.623580163,2767.179908
166.5,1.546423162,-1.260685521,-0.439889458,222.8894465,1.618734544,2769.850085
167,1.598238686,-1.061009204,-0.519028957,231.2017094,1.346770246,2771.23626
167.5,1.581543539,-0.807254395,-0.55723917,239.5151633,1.254516943,2770.921737
168,1.580620221,-0.532772134,-0.611306678,247.8268107,1.256068908,2770.178148
168.5,1.547972911,-0.264356692,-0.642580836,256.1350263,0.997553227,2768.228589
169,1.442592379,0.029317931,-0.612179861,264.4345386,0.906934898,2764.635335
169.5,1.343952171,0.303031005,-0.621166269,272.7227309,0.978496796,2760.934738
170,1.183085123,0.586643673,-0.632816835,281.0002679,0.936100689,2757.355055
170.5,0.975975505,0.847886207,-0.582244986,289.2664741,0.898851297,2753.388208
171,0.762987602,1.103058345,-0.529781126,297.5211271,1.05307642,2749.951254
171.5,0.485885286,1.309276925,-0.527344891,305.7674278,1.168080313,2747.76049
172,0.237125245,1.459978893,-0.474607653,314.0085169,1.231237476,2746.396588
172.5,-0.025848267,1.588894317,-0.378435128,322.246876,1.397374612,2746.101314
173,-0.345818782,1.684673333,-0.324800287,330.4866548,1.558113301,2747.336115
173.5,-0.608115644,1.733444511,-0.224394686,338.7317289,1.574365284,2749.407206
174,-0.815012585,1.731968821,-0.109848262,346.9837059,1.685832728,2752.086134
174.5,-1.052962198,1.734802139,0.003394497,355.2455119,1.84238031,2756.031211
175,-1.248552853,1.682064505,0.109436056,3.519787214,1.659120004,2759.870328
175.5,-1.33532455,1.555500545,0.220691624,11.80391164,1.663258838,2762.887221
176,-1.450440038,1.420797785,0.345053381,20.09773856,1.79107461,2766.532132
176.5,-1.559158409,1.266667951,0.444459439,28.40251186,1.533097815,2769.584467
177,-1.568948216,1.044211866,0.505403973,36.71290784,1.288952575,2770.299282
177.5,-1.578580007,0.794001628,0.56463975,45.02345178,1.350555371,2770.158328
178,-1.595067031,0.538720557,0.623814898,53.33348762,1.210314289,2769.647182
178.5,-1.528597742,0.266563029,0.622034039,61.6395963,0.979506676,2767.397466
179,-1.436455653,-0.039400884,0.603685067,69.93660706,0.942559378,2763.882399
179.5,-1.340182528,-0.310353451,0.643011409,78.22263243,0.927953656,2760.109069
180,-1.170512119,-0.58202319,0.622156263,86.49697492,0.884753708,2756.049186
180.5,-0.979079429,-0.862242694,0.560478435,94.75902664,0.952866557,2752.088397
181,-0.749095232,-1.111971888,0.554770876,103.0101686,1.030036702,2748.790941
181.5,-0.480821646,-1.299465553,0.520639425,111.2524205,1.094087048,2746.141716
182,-0.249160056,-1.462801557,0.442737982,119.4882373,1.292570754,2744.710861
182.5,0.046241047,-1.600731146,0.396418468,127.722523,1.487599856,2745.117358
183,0.352372528,-1.689349579,0.323201013,135.9598151,1.478137389,2746.397454
183.5,0.586288111,-1.718961173,0.21309962,144.20125,1.559218342,2748.019751
184,0.837936092,-1.741309537,0.106589278,152.4497332,1.861248446,2751.441669
184.5,1.085080452,-1.746315692,0.000137003,160.7108752,1.763840337,2755.83877
185,1.216255018,-1.66218999,-0.107264852,168.9836768,1.624121736,2759.146919
185.5,1.334329798,-1.551186133,-0.235806666,177.2659867,1.810560996,2762.685064
186,1.489787382,-1.431671223,-0.354138274,185.5603078,1.732189087,2766.743809
186.5,1.542514841,-1.257773426,-0.433141169,193.8647444,1.442243046,2769.097407
187,1.554079805,-1.035416406,-0.507404161,202.1733276,1.396377106,2769.8863
187.5,1.604370048,-0.797102981,-0.587255279,210.4835382,1.330221612,2770.151201
188,1.586553636,-0.545399266,-0.624720693,218.7928958,1.110144253,2769.07716
188.5,1.514112172,-0.251567641,-0.609534105,227.0966963,1.052814755,2766.698287
189,1.449104104,0.046688538,-0.63931858,235.3924713,0.981509602,2763.705205
189.5,1.334944845,0.312555749,-0.647190797,243.6779972,0.856837652,2759.781755
190,1.169888451,0.590074218,-0.601747751,251.9507138,0.889609126,2755.410244
190.5,0.984680693,0.872647062,-0.577315876,260.2112429,1.0285664,2751.822977
191,0.733354736,1.10412897,-0.570048145,268.4622359,1.017350607,2748.819964
191.5,0.500902876,1.298869495,-0.498960594,276.7045582,1.115537568,2746.212472
192,0.240551312,1.476364891,-0.447549799,284.9410306,1.344407151,2745.124826
192.5,-0.067562186,1.608023779,-0.418501622,293.1769026,1.456908182,2745.632687
193,-0.32854011,1.679942803,-0.313999061,301.4153007,1.444555942,2746.614492
193.5,-0.592156417,1.718152403,-0.204798273,309.6574503,1.639818819,2748.45702
194,-0.86837105,1.763676449,-0.113864639,317.9077137,1.799722634,2751.970448
194.5,-1.061728,1.736495703,-0.008117377,326.1694302,1.669542953,2755.641027
195,-1.196626434,1.656356962,0.118844946,334.4413931,1.760742212,2759.144834
195.5,-1.379629948,1.567159203,0.245569266,342.7249596,1.807695295,2763.309053
196,-1.486501715,1.435477949,0.346841254,351.0203698,1.569161977,2766.595642
196.5,-1.516484626,1.249398549,0.424460586,359.3231218,1.503408071,2768.470553
197,-1.578144749,1.041316187,0.525106331,7.631048037,1.537126976,2770.200414
197.5,-1.616617325,0.812713165,0.590607854,15.94307524,1.234950588,2770.681277
198,-1.57019379,0.540333689,0.604763665,24.25303467,1.088109597,2769.061116
198.5,-1.529838942,0.239046568,0.620890045,32.55696725,1.135821199,2766.96627
199,-1.455884626,-0.039282634,0.65582337,40.85431401,0.979365921,2764.353143
199.5,-1.326883406,-0.307871033,0.621632207,49.14179269,0.861856767,2760.446603
200,-1.178126596,-0.593734914,0.596556221,57.4167613,0.933725748,2756.307732
200.5,-0.975541446,-0.866674725,0.60850387,65.68019736,0.984975857,2752.727142
201,-0.740715526,-1.095299284,0.555666088,73.93342708,1.00141965,2749.449477
201.5,-0.515692208,-1.309810403,0.493973996,82.17768364,1.156518625,2746.961222
202,-0.219910969,-1.482332889,0.476284626,90.41646409,1.274712804,2745.742643
202.5,0.057053085,-1.593426785,0.407597294,98.65314821,1.372676225,2745.532773
203,0.313102886,-1.672993815,0.29712632,106.8908108,1.520314722,2746.473024
203.5,0.616696297,-1.737556235,0.219322845,115.1335003,1.694955597,2748.927181
204,0.86524289,-1.763475217,0.117942312,123.384923,1.634834789,2751.930445
204.5,1.029127227,-1.718679573,0.004439502,131.6451599,1.708486864,2755.010658
205,1.220586245,-1.667882805,-0.12339823,139.916325,1.918102741,2759.428905
205.5,1.396297343,-1.580648551,-0.239592002,148.2016399,1.684013201,2763.753723
206,1.452938329,-1.423117089,-0.330142504,156.4970961,1.539946372,2766.32725
206.5,1.520859144,-1.246431936,-0.43204873,164.7994638,1.652677948,2768.761185
207,1.60295448,-1.054017402,-0.528075788,173.109439,1.489947,2770.970945
207.5,1.597025053,-0.810661436,-0.572512003,181.4230576,1.173730338,2770.948874
208,1.564797739,-0.531745958,-0.595102563,189.7335693,1.156827369,2769.36385
208.5,1.541160074,-0.24678388,-0.643350608,198.0388183,1.085503457,2767.356397
209,1.443793636,0.029553098,-0.637531965,206.3366638,0.935620825,2764.305043
209.5,1.334119477,0.300922061,-0.613452574,214.6238232,0.912209553,2760.428308
210,1.181830615,0.599985864,-0.621519695,222.8990974,0.910298879,2756.415381
210.5,0.971130876,0.855630411,-0.605491449,231.1622522,0.902311301,2752.33922
211,0.75384171,1.103631103,-0.528209368,239.4138016,1.056936165,2748.931909
211.5,0.501201818,1.317128075,-0.509582573,247.6572506,1.205825363,2746.93157
212,0.218821801,1.470585007,-0.48383908,255.8961415,1.218527052,2745.681708
212.5,-0.031133107,1.587275844,-0.385594164,264.13214,1.377439025,2745.230969
213,-0.330799495,1.679049034,-0.308012511,272.369528,1.64627265,2746.780943
213.5,-0.628067335,1.748870049,-0.225136155,280.6140371,1.634133168,2749.542351
214,-0.834585294,1.7416561,-0.117731707,288.8665056,1.584155468,2752.027234
214.5,-1.03070006,1.719780297,0.002551756,297.1272858,1.864053047,2755.597417
215,-1.255062515,1.679661295,0.120013199,305.4012879,1.836568298,2760.365414
215.5,-1.367166731,1.564817228,0.225688548,313.6883058,1.608644457,2763.960862
216,-1.43418926,1.417387771,0.334658844,321.9841739,1.645963829,2766.67711
216.5,-1.552140422,1.256463087,0.444716892,330.2883857,1.610329642,2769.41061
217,-1.590674064,1.054487628,0.518408924,338.5992816,1.353686883,2770.788151
217.5,-1.576337446,0.80230175,0.558672888,346.9115042,1.265466065,2770.555345
218,-1.582543931,0.529991879,0.618695742,355.2219016,1.202377013,2769.610476
218.5,-1.541455736,0.261088595,0.643938789,3.527819165,0.978458887,2767.317689
