Time [ms],Current(PhaseA) [A],Current(PhaseB) [A],Current(PhaseC) [A],Moving1.Position [deg],Moving1.Torque [NewtonMeter],Moving1.Speed [rpm]
50.00038,-6.60E-05,2.186423111,-6.255066943,234.5335595,-0.163251145,1113.790471
50.50038,-0.000133765,2.731203493,-6.288875615,237.8488883,0.7710536,1107.867704
51.00038,-0.000149619,3.379085274,-6.158466417,241.1297821,-0.507682978,1100.353749
51.50038,-0.000181022,4.039700847,-6.000436573,244.3803323,-0.504248367,1086.939905
52.00038,-0.00023492,4.415851627,-5.65918128,247.6389485,1.560600106,1083.330697
52.50038,-0.000253644,4.656031275,-5.067249201,250.9064106,1.460857755,1088.903715
53.00038,-0.00026044,4.955734716,-4.45394579,254.1596895,0.007834335,1087.13268
53.50038,-0.000292389,5.144004138,-3.801680383,257.4155668,1.012325498,1083.306566
54.00038,-0.000296577,5.059606585,-2.956005639,260.6927896,1.991311056,1088.797268
54.50038,-0.000279674,4.896467556,-2.014124966,263.9770312,1.097158064,1094.604468
55.00038,-0.000289241,4.732470871,-1.139594841,267.2580961,0.684048647,1094.249277
55.50038,-0.000282481,4.391906177,-0.232599274,270.5402575,1.050905174,1093.704923
56.00038,-0.000239737,3.915320908,0.773700389,273.8213588,0.896050751,1094.157339
56.50038,-0.000226118,3.404264236,1.689161889,277.0965862,0.6930817,1092.928387
57.00038,-0.000205872,2.829084606,2.507093946,280.3622694,0.62713153,1090.457854
57.50038,-0.000150902,2.180739309,3.345803421,283.6133695,0.295248378,1086.150789
58.00038,-9.43E-05,1.503521893,4.111793211,286.8541399,0.592316252,1081.722224
58.50038,-7.73E-05,0.740769988,4.714019869,290.085359,0.616250301,1078.830792
59.00038,-4.58E-05,-0.10123625,5.227785008,293.3061277,0.375969061,1074.944126
59.50038,2.83E-05,-0.772557054,5.63052264,296.5302499,1.105436697,1073.380501
60.00038,7.66E-05,-1.420844853,5.811563797,299.7619589,1.360330073,1076.424748
60.50038,8.97E-05,-2.226324566,5.88250594,302.9902037,0.533607526,1076.751732
61.00038,0.000145496,-2.892854816,5.876088389,306.2302713,1.239602996,1076.52214
61.50038,0.00020124,-3.319549079,5.641177598,309.5038661,2.49510425,1085.472146
62.00038,0.000211119,-3.756702593,5.2164401,312.7952516,1.439838495,1095.251647
62.50038,0.000236078,-4.201689967,4.794327534,316.1002679,1.116502111,1098.501568
63.00038,0.000276305,-4.412053187,4.222236886,319.4449791,2.592582406,1107.143963
63.50038,0.000275493,-4.43831754,3.447639154,322.8310366,2.602961061,1122.650032
64.00038,0.00027354,-4.482474903,2.652208751,326.2398112,1.527639873,1133.02456
64.50038,0.000292658,-4.415186298,1.856867948,329.674321,1.907457389,1140.083819
65.00038,0.00027054,-4.123676951,0.924595034,333.1373223,2.131379723,1149.924523
65.50038,0.000248638,-3.768445498,-0.046357179,336.6163338,1.491222547,1157.729241
66.00038,0.000250183,-3.365813304,-0.921515996,340.1015929,1.210243552,1161.171307
66.50038,0.000215449,-2.85496095,-1.817600349,343.5856956,0.903924063,1161.856101
67.00038,0.000161435,-2.303378063,-2.699949944,347.0654688,0.8296667,1160.766109
67.50038,0.000139473,-1.668429813,-3.47042133,350.5371117,0.746490917,1158.95532
68.00038,0.000114921,-0.914911594,-4.196390534,353.993662,0.330929453,1154.828702
68.50038,4.00E-05,-0.255476453,-4.840932848,357.4376633,0.571030227,1149.923137
69.00038,3.31E-06,0.441741407,-5.30352357,0.867144479,0.538490602,1146.030423
69.50038,-1.14E-05,1.285805071,-5.666036908,4.276507733,-0.011907726,1139.437621
