Time [s],Current(PhaseA) [A],Current(PhaseB) [A],Current(PhaseC) [A],Moving1.Position [deg],Moving1.Torque [NewtonMeter],Moving1.Speed [rpm]
0.282,-1.024284378,-1.47094889,2.495233267,2.57323717,1.24488666,2808.568471
0.2825,-0.661368261,-1.766019007,2.427387267,10.9978654,1.25449057,2807.866726
0.283,-0.258933936,-2.049697225,2.308631161,19.42072782,1.29965968,2807.455276
0.2835,0.148121953,-2.2822364,2.134114447,27.84272611,1.27875172,2807.172878
0.284,0.52382623,-2.416247312,1.892421082,36.26355736,1.261161022,2806.68275
0.2845,0.906180596,-2.489806781,1.583626185,44.68289851,1.293396895,2806.26853
0.285,1.268594029,-2.514487203,1.245893173,53.10137655,1.300220064,2806.062318
0.2855,1.569670796,-2.468489661,0.898818865,61.5189905,1.240983468,2805.574188
0.286,1.858887989,-2.376893649,0.51800566,69.93470098,1.278282317,2804.965361
0.2865,2.126626625,-2.242663734,0.116037109,78.34910847,1.302230025,2804.682332
0.287,2.334443663,-2.05410135,-0.280342313,86.76276928,1.273600734,2804.373611
0.2875,2.433544941,-1.780001777,-0.653543163,95.17520878,1.276181631,2803.923535
0.288,2.498957168,-1.464387335,-1.034569833,103.5865222,1.3134782,2803.685191
0.2885,2.493948965,-1.118123861,-1.375825104,111.99739,1.289348657,2803.516941
0.289,2.436516551,-0.769063359,-1.667453192,120.4072839,1.250284893,2803.008743
0.2895,2.323952169,-0.376060519,-1.94789165,128.8154998,1.300609331,2802.557885
0.29,2.16266172,0.027913392,-2.190575113,137.2229102,1.302596219,2802.385978
0.2905,1.959023048,0.409771695,-2.368794743,145.6296568,1.271040507,2802.055145
0.291,1.668592363,0.782496127,-2.45108849,154.035205,1.29623527,2801.688261
0.2915,1.346332408,1.157073274,-2.503405682,162.4400549,1.321384444,2801.589934
0.292,0.996852356,1.476675758,-2.473528114,170.8446259,1.274092686,2801.372874
0.2925,0.630327867,1.761015983,-2.391343849,179.2480245,1.271778814,2800.888167
0.293,0.230394909,2.030960302,-2.261355211,187.6502054,1.321280824,2800.653992
0.2935,-0.171901417,2.238811657,-2.06691024,196.0521001,1.30012718,2800.571537
0.294,-0.537200568,2.389657862,-1.852457294,204.4533837,1.274565285,2800.238201
0.2945,-0.910429389,2.457802782,-1.547373393,212.853653,1.323546664,2800.028502
0.295,-1.270623494,2.490215163,-1.21959167,221.2537949,1.319415931,2800.058956
0.2955,-1.570629017,2.442744314,-0.872115297,229.6537026,1.266780591,2799.785286
0.296,-1.850372227,2.339557269,-0.489185043,238.0523744,1.295165564,2799.379429
0.2965,-2.103782499,2.191427421,-0.087644922,246.4503032,1.327535541,2799.29763
0.297,-2.284850299,1.979658409,0.30519189,254.8481462,1.292488968,2799.201828
0.2975,-2.398104233,1.733716466,0.664387767,263.2453338,1.294024508,2798.925605
0.298,-2.457220814,1.421160811,1.036060003,271.6419875,1.346375213,2798.937043
0.2985,-2.46660043,1.093022669,1.373577761,280.0390105,1.304038745,2799.002974
0.299,-2.395615091,0.737717782,1.657897309,288.4356216,1.274832153,2798.685166
0.2995,-2.278071061,0.346057888,1.932013173,296.8311776,1.314915163,2798.423404
0.3,-2.108917572,-0.054394488,2.16331206,305.2264436,1.327465728,2798.44319
0.3005,-1.892436586,-0.429888348,2.322324934,313.6216852,1.286562985,2798.311475
0.301,-1.61599004,-0.790315351,2.406305391,322.0162825,1.322061957,2798.149783
0.3015,-1.299546935,-1.154994449,2.454541385,330.4109308,1.351320446,2798.335005
0.302,-0.964658787,-1.467193084,2.431851871,338.8061232,1.290234764,2798.350982
0.3025,-0.58963492,-1.739254565,2.328889485,347.200758,1.299468462,2798.088209
0.303,-0.198507379,-2.004875404,2.203382783,355.5948778,1.332531754,2798.0507
0.3035,0.195515866,-2.208763874,2.013248008,3.989198609,1.324811499,2798.149624
0.304,0.554484553,-2.341807093,1.78732254,12.38354469,1.289403629,2798.017734
0.3045,0.915341941,-2.411178192,1.495836251,20.77745843,1.353594784,2798.039259
0.305,1.263791822,-2.441510887,1.177719065,29.172076,1.344397092,2798.35654
0.3055,1.552954825,-2.379460105,0.826505279,37.56727945,1.293931383,2798.355596
0.306,1.818133694,-2.260737453,0.442603759,45.9621106,1.326101817,2798.25567
0.3065,2.06760115,-2.121793025,0.054191875,54.35704819,1.337772206,2798.390467
0.307,2.243820975,-1.915794956,-0.328026019,62.75242323,1.320266243,2798.495096
0.3075,2.350494012,-1.671826656,-0.678667355,71.14785219,1.306673941,2798.433149
0.308,2.405221783,-1.367335646,-1.037886138,79.54332663,1.377099027,2798.675708
0.3085,2.412059309,-1.04949522,-1.362564089,87.94002182,1.327821499,2799.03365
0.309,2.318461745,-0.683752117,-1.634709627,96.33717923,1.311691705,2799.042295
0.3095,2.197043615,-0.300843599,-1.896200016,104.7343807,1.347537015,2799.156038
0.31,2.035907177,0.08389755,-2.119804726,113.1322734,1.340954845,2799.427687
0.3105,1.815735789,0.453609838,-2.269345627,121.5308008,1.320038289,2799.553296
0.311,1.550207951,0.803238007,-2.353445958,129.929551,1.33306776,2799.636797
0.3115,1.234804729,1.155310394,-2.390115123,138.3289824,1.38719247,2800.081187
0.312,0.912828701,1.45422602,-2.367054722,146.7299561,1.317245187,2800.443502
0.3125,0.542960807,1.715201131,-2.258161938,155.1313904,1.339795812,2800.552794
0.313,0.15930812,1.969183168,-2.128491288,163.5335281,1.364802653,2800.917378
0.3135,-0.218647135,2.164335291,-1.945688156,171.9369222,1.344491643,2801.309451
0.314,-0.577286496,2.28560174,-1.708315244,180.3411767,1.325695817,2801.493404
0.3145,-0.927306341,2.353500939,-1.426194598,188.7460084,1.367851003,2801.80316
0.315,-1.265386267,2.36666237,-1.101276102,197.1523414,1.389765416,2802.458674
0.3155,-1.542198837,2.31834508,-0.776146243,205.560515,1.321430612,2802.868744
0.316,-1.794914373,2.198875082,-0.403960709,213.9694317,1.366763345,2803.156624
0.3165,-2.032576436,2.050756606,-0.01818017,222.3797252,1.371606944,2803.714985
0.317,-2.197746064,1.846283815,0.35146225,230.7916112,1.345599194,2804.162896
0.3175,-2.295924655,1.594969179,0.700955476,239.2045518,1.343175114,2804.459946
